title,citation,coram,decision_date,case_no,bench,pdf_path_or_url,snippet
Rajesh Chaddha v. State of Uttar Pradesh,[2025] 6 S.C.R. 382,"Coram : B.V. NAGARATHNA * , SATISH CHANDRA SHARMA",13-05-2025,CRIMINAL APPEAL No. 2635/2025,2 Judges,pdfs/Rajesh Chaddha v. State of Uttar Pradesh.pdf,"Penal Code, 1860 – s.498A – Dowry Prohibition Act, 1961 – s.4 – Conviction under – When not sustainable:Held: The term “cruelty” is being misused and cannot be established simpliciter without specific instances – The tendency of roping sections 498A, IPC and 3 & 4, DP Act, 1961 without mentioning any specific dates, time or incident, weakens the case of the prosecution casting serious suspicion on the viability of the version of a complainant – In the present case, the allegations made by the complainant-wife were vague, omnibus and bereft of any material particulars to substantiate the threshold of offences u/s.498A, IPC and s.4, DP Act, 1961 – A cursory or plausible view cannot be conclusive proof to determine the guilt of an individual under the aforesaid Sections, especially to obviate malicious criminal prosecution of family members in matrimonial disputes – FIR registered by the complainant was not genuine – Nothing incriminatory against the appellant to sustain conviction u/s.498A, IPC or s.4, DP Act, 1961 – Impugned order set aside – Appellant acquitted. [Paras 9, 11, 12, 14, 15]Penal Code, 1860 – s.498A – Dowry Prohibition Act, 1961 – ss.3, 4 – Threshold of offences under:Held: An act of ‘cruelty’ for the purpose of s.498A, corresponds to a willful conduct of such nature, that may cause danger to the life, limb and health of the woman, which is inclusive of the mental and physical health and the harassment caused to her, by coercing * Author"
SUSHILA & ORS. versus STATE OF U.P. & ORS. - [2025] 5 S.C.R. 161 2025 INSC 505,[2025] 5 S.C.R. 161,"Coram : SANJAY KAROL * , PRASHANT KUMAR MISHRA",16-04-2025,CRIMINAL APPEAL No. 2020/2025,2 Judges,pdfs/16-04-2025_SUSHILA & ORS. versus STATE OF U.P. & ORS. - [2025] 5 S.C.R. 161 2025 INSC 505.pdf,"Penal Code, 1860 – ss.498A, 323, 504, 506 – Dowry Prohibition Act, 1961 – s.4 – K is the husband of respondent no.2 and appellants herein are relatives of K – Matrimonial dispute arose between K and respondent no.2 – K filed for divorce – Ex-parte divorce decree was passed by the Family Court – After 3 years from the passing of the divorce decree, respondent no.2 filed complaint u/s.156(3) CrPC – Pursuant thereto, Magistrate issued summons against the appellants u/s.498A IPC – Appellants filed petition u/s.482 CrPC for quashing of summoning order before the High Court which was dismissed – Correctness:Held: Admittedly, the marriage has already been dissolved by a decree of divorce passed on 31.05.2012 and the present complaint was filed after three years of divorce – Except for the bald statement against the appellants, the other allegations are against the husband – There is absolutely no reason or justification as to why the appellants would try for a reconciliation by visiting the house of the complainant on 16.08.2015 when the divorce has already taken place by order dated 31.05.2012  – As a matter of fact, the complaint is largely devoted to the ill-treatment committed by the husband and the only reference to the appellants is made for the incident dated 16.08.2015 at her own house at NOIDA – However, by that time, the ex-parte decree of divorce * Author"
Suresh v. State Rep. By Inspector of Police,[2025] 3 S.C.R. 317,"Coram : SUDHANSHU DHULIA * , AHSANUDDIN AMANULLAH",04-03-2025,CRIMINAL APPEAL No. 540/2013,2 Judges,pdfs/Suresh v. State Rep. By Inspector of Police.pdf,"Criminal Procedure Code, 1973 — Whether High Court correctly appreciated the facts and upheld the conviction of the accused — Correctness:Held: While convicting, the Trial Court mainly relied upon the evidence given by parents of the deceased and the dying declaration, which was recorded by the Judicial Magistrate — Dying declaration is an important piece of evidence and a conviction can be made by relying solely on a dying declaration alone as it holds immense importance in criminal law – However, such reliance should be placed after ascertaining the quality of the dying declaration and considering the entire facts of a given case — The deceased had given two statements which are totally different from her subsequent statement made before the Judicial Magistrate, which casts serious doubts on the veracity of the deceased’s subsequent statement, where the deceased had blamed the accused for the incident — No other evidence corroborates the deceased’s statement that the appellant had poured kerosene on her and then set her on fire — The doctor, who had examined the deceased immediately after the incident, denied the presence of the smell of kerosene in the body of the deceased when she was brought to the hospital — Reliance of prosecution on Observation Mahazar is not correct, which is itself doubtful as the seizure witness to the said Mahazar has turned hostile and there had been an inordinate delay in sending the Mahazar to Court — Where the deceased has been changing her stance and has completely * Author"
Shabeen Ahmad v. The State of Uttar Pradesh & Anr.,[2025] 3 S.C.R. 367,"Coram : VIKRAM NATH * , SANDEEP MEHTA",03-03-2025,CRIMINAL APPEAL No. 1051/2025,2 Judges,pdfs/Shabeen Ahmad v. The State of Uttar Pradesh & Anr..pdf,"Bail – Grant/cancellation of – In matters pertaining to dowry death – Death of the wife within two years of marriage in highly suspicious circumstances – Parents-in-law and sisters-in-law of the deceased wife charged for dowry death of the deceased – Trial court rejected the bail applications filed by the in-laws, however, the High Court granted bail – Sustainability: Held: Stricter judicial scrutiny necessary in matters where a young woman loses her life in her matrimonial home under highly suspicious circumstances so soon after marriage, particularly where the record points to persistent harassment over unmet dowry demands – Courts are duty-bound to undertake deeper scrutiny of the circumstances under which bail is granted in dowry death cases – Social message emanating from judicial orders in such cases cannot be overstated – Superficial application of bail parameters undermines the gravity of the offence and risks weakening public faith in the judiciary’s resolve to combat the menace of dowry deaths – It is this very perception of justice, both within and outside the courtroom, that courts must safeguard, lest there is a risk of normalizing a crime that continues to claim numerous innocent lives – On facts, seemingly mechanical approach adopted by the High Court in granting bail to the in-laws – While the court did note the absence of prior criminal records, it failed to fully consider the * Author"
The State of Madhya Pradesh v. Balveer Singh,[2025] 2 S.C.R. 836,"Coram : J.B. PARDIWALA * , MANOJ MISRA",24-02-2025,CRIMINAL APPEAL No. 1669/2012,2 Judges,pdfs/The State of Madhya Pradesh v. Balveer Singh.pdf,"Evidence Act, 1872 – s.118 – No prescription of any particular age as a determinative factor to treat a witness to be a competent one:Held: The Evidence Act does not prescribe any particular age as a determinative factor to treat a witness to be a competent one – On the contrary, s.118 of the Evidence Act envisages that all persons shall be competent to testify, unless the court considers that they are prevented from understanding the questions put to them or from giving rational answers to these questions, because of tender years, extreme old age, disease - whether of mind, or any other cause of the same kind – A child of tender age can be allowed to testify if he has intellectual capacity to understand questions and give rational answers thereto. [Para 26]* Author"
Baljinder Singh Alias Aman v. State of Punjab & Anr.,[2025] 5 S.C.R. 735,"Coram : B.V. NAGARATHNA, SATISH CHANDRA SHARMA",16-05-2025,CRIMINAL APPEAL No. 2629/2025,2 Judges,pdfs/Baljinder Singh Alias Aman v. State of Punjab & Anr..pdf,"Code of Criminal Procedure, 1973 – s.439 – Penal Code, 1860 – ss.302, 323, 34, 427, 120B – High Court set aside the order of the Trial Court declining to grant bail to the respondents-accused(s) – Interference with:Held: Respondents are alleged to have committed the offence u/s.302, IPC – It may be a fact that the respondent-accused(s) may have carried the injured victim, who later died, to the Hospital but he was actually brought dead to the hospital – This fact will have to be considered de hors from the fact as to who actually had committed the offence in the first place in the instant case – Trial court rightly noted the said aspect and declined to grant bail – However, the High Court set aside the said order and granted bail on a very cryptic reasoning – Order of the High Court set aside and that of the Sessions Court is restored. [Paras 19, 20]List of ActsCode of Criminal Procedure, 1973; Penal Code, 1860.List of KeywordsBail; Regular bail; Regular bail declined; Regular bail rightly declined; Injured victim; Brought dead; Cryptic reasoning; Wooden stick blow on the head; Filthy language; Trespass; Dismantling the barbed wire fencing on the property; Wooden sticks; Habitual offender."
Hansura Bai & Anr. v. The State of Madhya Pradesh & Anr.,[2025] 6 S.C.R. 280,"Coram : VIKRAM NATH * , SANDEEP MEHTA",15-05-2025,CRIMINAL APPEAL No. 2647/2025,2 Judges,pdfs/Hansura Bai & Anr. v. The State of Madhya Pradesh & Anr..pdf,"Custodial death – Transfer of investigation – When to be allowed – ‘nemo judex in causa sua’:Held: The incident involved the death of a young man in police custody by the local police officials, where though an FIR was registered, but till date even after lapse of eight months, not one of the police official has been arrested – Involvement of the police officials in the custodial death of the victim is clear from the statement of the sole eye-witness (victim’s uncle) to the custodial torture and is further corroborated during the magisterial inquiry – Local police officials prevented the victims’ family that tried to lodge the FIR immediately after the incident – It was only after the magisterial inquiry was conducted that the FIR was registered wherein the offence of culpable homicide amounting to murder was omitted – On facts, the investigation by the local police is not being carried out in a fair and transparent manner – Victim’s uncle expressed serious threat perception at the hands of police and prison officials which was accepted by High Court – Present is a classic case of ‘nemo judex in causa sua’ meaning that ‘no one should be a judge in his own cause’ – Investigation transferred to CBI. [Paras 26-31]* Author"
V. S. R. Mohan Rao v. K. S. R. Murthy & Ors.,[2025] 5 S.C.R. 773,"Coram : SUDHANSHU DHULIA * , K. VINOD CHANDRAN",15-05-2025,CIVIL APPEAL No. 6879/2025,2 Judges,pdfs/V. S. R. Mohan Rao v. K. S. R. Murthy & Ors..pdf,"Andhra Pradesh Land Grabbing (Prohibition) Act, 1982 – ss.2(d), (e) – ‘Land grabbing’; ‘Land grabber’ – Case of the applicant (predecessors-in-interest of the respondents) before the Special Court was that the appellant was in occupation of a portion of the land belonging to the applicant forming part of survey no.9 whereas the sale deed produced by the appellant showed his property to be in survey no.10 – Appellant was held to be a ‘land grabber’, eviction directed:Held: The term ‘land grabbing’ is employed in the statute conferring on it both a narrow and broad connotation – The broader meaning being of taking away unauthorisedly, greedily or unfairly and the narrow meaning being of snatching forcibly, violently or by unscrupulous means – It cannot be said that there should necessarily be criminality insofar as the encroachment or trespass carried out – The mens rea or intention required is only of illegally taking possession of land, through unlawful or arbitrary means, by oneself or through others, for creation of third party rights, carrying out constructions or use and occupation unauthorisedly – Undisputedly, the appellant had purchased land in survey no.10 – Applicant proved her possession by virtue of the title deed and also took out a Commission which identified the property in the possession of the appellant to be clearly in survey no.9 and not survey no.10 – Thus, the survey numbers in the sale deed produced by the applicant and the appellant, as also the * Author"
Sita Ram & Anr. v. The State of Himachal Pradesh,[2025] 4 S.C.R. 204,"Coram : J.B. PARDIWALA, R MAHADEVAN",06-03-2025,CRIMINAL APPEAL No. 228/2013,2 Judges,pdfs/Sita Ram & Anr. v. The State of Himachal Pradesh.pdf,"Penal Code, 1860 – ss.304, 323 and 451 – Culpable homicide not amounting to murder – Asphyxia due to head injury – Deceased had a quarrel with his own brother-co-accused – Co-accused called for his two friends-appellants and appellant no.1 hit a blow with sickle on the forehead of the deceased and other two assaulted with fist and kick blows – Deceased himself went to the police station and lodged the FIR – Later got himself admitted in the hospital, when his health deteriorated – Nine days later, he passed away and as per the post-mortem report, cause of death was asphyxia – Trial court acquitted all three accused – However, the High Court, held the appellant no.1 guilty of offence punishable u/s.304 and appellant no.2 for offences punishable u/ss.323 and 451 and sentenced accordingly – Interference with:Held: No palpable error or perversity in the reasonings assigned by the High Court while holding both the appellants guilty of the alleged offence – Cause of death appears to be asphyxia – Ordinarily, asphyxia is due to strangulation or throttling, however, such was not the prosecution case – At times, if due to head injury if sufficient oxygen does not reach the brain that may lead to asphyxia – Post-mortem report reveals that the deceased while "
Rina Kumari @ Rina Devi @ Reena v. Dinesh Kumar Mahto @ Dinesh Kumar Mahato and another,[2025] 1 S.C.R. 462,"Coram : SANJIV KHANNA * , SANJAY KUMAR",10-01-2025,CRIMINAL APPEAL No. 161/2025,2 Judges,pdfs/Rina Kumari @ Rina Devi @ Reena v. Dinesh Kumar Mahto @ Dinesh Kumar Mahato and another.pdf,"Code of Criminal Procedure, 1973 – s.125(4) – Disqualification under, when not attracted – Wife’s right to maintenance u/s.125, CrPC – Hindu Marriage Act, 1955 – s.9 – Decree for restitution of conjugal rights obtained by respondent No.1-husband – Non-compliance therewith by the appellant-wife – If would be sufficient to attract the disqualification u/s.125(4):Held: No – Mere passing of a decree for restitution of conjugal rights at the husband’s behest and non-compliance therewith by the wife would not, by itself, be sufficient to attract the disqualification u/s.125(4) or be determinative straightaway of her right to maintenance – It would depend on the facts of each case to be decided, on the evidence available, whether the wife still had valid and sufficient reason to refuse to live with her husband, despite such a decree – Restitution decree was passed on 23.04.2022 – Admittedly, there was no attempt made at reconciliation after 2017 – However, having secured the restitution decree, respondent No.1 did nothing – He neither sought execution of the decree or a decree of divorce – The stalemate created by Respondent No.1 reflects his lack of bonafides and demonstrates his attempt to disown all responsibility towards his wife – His conduct in completely ignoring the appellant after she suffered the miscarriage of their child added to her suffering due to the ill-treatment in her matrimonial home – Respondent No.1’s admission that he did not bear the expenditure * Author"
Sonu Choudary v. State of NCT Delhi,[2024] 11 S.C.R. 786,"Coram : BELA M. TRIVEDI, SATISH CHANDRA SHARMA",06-11-2024,CRIMINAL APPEAL No. 3111/2024,2 Judges,pdfs/Sonu Choudary v. State of NCT Delhi.pdf,"Penal Code, 1860 – ss.324 and 452 – Voluntarily causing hurt  – House trespass after preparation for hurt, assault or wrongful restraint – Prosecution case that the appellant inflicted injuries with the blade on the thigh, shoulder and back of the owner of the restaurant, when the owner refused to give the appellant water to consume alcohol – Victim’s friend tried to intervene, however, he was also inflicted injury – Conviction and sentence u/ss. 324 and 452 by the courts below – Correctness:Held: Prosecution proved the guilt of the appellant so far as the offence u/s.324, “voluntarily causing hurt” to the injured and was rightly convicted and sentenced for the offence u/s.324 – As regards s.452, the incident took place in a restaurant run by the injured which cannot be said to be either a place used for human dwelling or for worship or for the custody of the property – Thus, the very ingredients of the offence u/s.452, namely, the criminal trespass as contemplated in s.441 and house trespass as contemplated in s.442 having not been made out by the prosecution, the appellant could not have been convicted for the offence u/s.452 – Thus, conviction and sentence awarded for offence u/s.452 by the trial court and confirmed by the High Court set aside – Appellant acquitted for the offence u/s.452. [Paras 6, 7, 9-12]"
Girish Gandhi v. The State of Uttar Pradesh & Ors. Writ Petition,[2024] 8 S.C.R. 561,"Coram : BHUSHAN RAMKRISHNA GAVAI * , K.V. VISWANATHAN",22-08-2024,WRIT PETITION (CRIMINAL) No. 149/2024,2 Judges,pdfs/Girish Gandhi v. The State of Uttar Pradesh & Ors. Writ Petition.pdf,"Code of Criminal Procedure, 1973 – s.441 – Bond of accused and sureties – Constitution of India – Article 21 – 13 FIRs against the petitioner in 6 States – Enlarged on bail with conditions in all of them – Unable to find multiple sureties – Sureties already furnished in two cases in two States, if would enure to the benefit of the other 11 cases:Held: Petitioner is experiencing a genuine difficulty in finding multiple sureties – Sureties are essential to ensure the presence of the accused, released on bail however, in cases where the accused enlarged on bail is unable to find sureties in multiple cases, there is also a need to balance the requirement of furnishing the sureties with his or her fundamental rights u/Article 21 of the Constitution of India – An order which would protect the person’s fundamental right u/Article 21 and at the same time guarantee the presence, would be reasonable and proportionate – As to what such an order should be, will depend on the facts and circumstances of each case – For the FIRs pending in the States of Uttar Pradesh, Rajasthan, Punjab and Uttarakhand, in each State, the petitioner will furnish his personal bond for Rs.50,000/- and furnish two sureties who shall execute the bond for Rs. 30,000/- each which shall hold good for all FIRs in the concerned State – The same set of sureties to stand as surety in all the States. [Paras 23, 28]* Author"
Kaushik Premkumar Mishra & Anr. v. Kanji Ravaria @ Kanji & Anr.,[2024] 7 S.C.R. 2295,"Coram : VIKRAM NATH * , AHSANUDDIN AMANULLAH",19-07-2024,CIVIL APPEAL No. 1573/2023,2 Judges,pdfs/Kaushik Premkumar Mishra & Anr. v. Kanji Ravaria @ Kanji & Anr..pdf,"Contract Act, 1872 – s.11 – Registration Act, 1908 – s.85 –  A Land measuring 3.40 Hectares was sold by respondent no.2 to appellants and collaterals of the appellants – Half of the total land (suit land) was purchased by appellants and other half by the collaterals of appellants – Respondent no.2 herein executed a Sale Deed (suit land) in favour of appellant no.1 and his minor brother (since deceased) on 02.12.1985 with respect to suit land and another sale deed was also executed with the collateral of the appellants – The sale deed (suit land) in favour of the appellant no.1 and his minor brother could not be registered and remained pending for registration before the Sub-Registrar on account of deficiency in stamp duty – On 03.12.2010 respondent no.2 executed a Conveyance Deed with respect to the suit land in favour of respondent no.1 – It is the same land which was transferred in favour of the appellant no.1 and his brother in December, 1985 – The appellants then followed up registration of their sale deed, * Author"
The State of Punjab and Ors. v. Bhagwantpal Singh Alias Bhagwant Singh,[2024] 7 S.C.R. 2434,"Coram : VIKRAM NATH * , K.V. VISWANATHAN",10-07-2024,CIVIL APPEAL No. 7379/2024,2 Judges,pdfs/The State of Punjab and Ors. v. Bhagwantpal Singh Alias Bhagwant Singh.pdf,"Limitation Act, 1963 – Article 65 – Suit for possession barred by limitation – Civil Suit filed by deceased Respondent for possession of the land in suit in 2001 as they alleged to have come to know about construction of the hospital only in 2000 – Appellant/State claiming that the land in suit had been donated by original owner i.e., father of the Plaintiff, in 1958 for establishing a Veterinary Hospital and possession was delivered – Appellant/State constructed the hospital from the funds of the State Government in 1958-1959 and since then, the same has been functional: Held: Article 65 of the Limitation Act clearly stipulates that in a suit for possession of immovable property, the period of limitation will be twelve years from when the possession of the defendant becomes averse to the plaintiff – Fact remains and has been duly established from the record that the hospital had been constructed on the land belonging to the original owner i.e., father of the plaintiff sometime in the year 1958-59 – At that time, the owner of the said land was alive, and he did not object to it, which clearly indicates that he had donated the land in suit for construction * Author"
Mamman Khan v. State of Haryana,[2025] 10 S.C.R. 131,"Coram : J.B. PARDIWALA * , R MAHADEVAN",12-09-2025,CRIMINAL APPEAL No. 4002/2025,2 Judges,pdfs/Mamman Khan v. State of Haryana.pdf,"Code of Criminal Procedure, 1973 – ss.219 to 223 – Joint trials – Segregation of trial – Permissibility – Appellant-MLA arrayed as one of the accused person along with others , in connection with large-scale communal violence in the Nuh District – Joint proceedings commenced – However, the trial court directed the police to file a separate charge-sheet against the appellant and consequently, segregated his trial from that of the co-accused – Pursuant thereto, the police filed separate charge sheets against the appellant, and charges were framed  – Appellant sought quashing of the order of segregation of his trial – High Court dismissed the petitions, and upheld the segregation – Sustainability:Held: Order of the trial court directing segregation of the appellant’s trial from that of the co-accused, cannot be sustained – No allegation that the acts attributed to the appellant arise from a distinct transaction, or that a joint trial would prejudice the prosecution – On the contrary, the prosecution’s own case rests on an overarching conspiracy, and interlinked evidence – Segregation was ordered not on any legally recognized ground such as distinct facts, severable evidence, or demonstrated prejudice but solely on account of the appellant’s political office which cannot be justified – Preferential segregation militates against the equality principle enshrined in Art.14 – Only ground recorded was the delay occasioned by the * Author"
M/s Shri Sendhur Agro & Oil Industries v. Kotak Mahindra Bank Ltd.,[2025] 3 S.C.R. 714,"Coram : J.B. PARDIWALA * , R MAHADEVAN",06-03-2025,TRANSFER PETITION (CRIMINAL) No. 608/2024,2 Judges,pdfs/06-03-2025_M_S SHRI SENDHUR AGRO & OIL INDUSTRIES versus KOTAK MAHINDRA BANK LTD. - [2025] 3 S.C.R. 714 2025 INSC 328.pdf,"Code of Criminal Procedure, 1973 – s.406 – Negotiable Instruments Act, 1881 – ss.138, 142, 142A – Transfer of criminal case by Supreme Court – Petitioner-proprietorship concern defaulted on payment of its EMI’s of overdraft availed from respondent bank – Respondent instituted proceedings in Chandigarh, where it had presented the cheque that was dishonoured – Case of the petitioner that court in Chandigarh has no jurisdiction as the entire transaction took place in Tamil Nadu, and proceedings are initiated solely with an intent to harass the petitioner to travel all the way to Chandigarh only to attend the court proceedings – Petitioner initiated transfer proceedings u/s.406 to transfer the proceedings from Chandigarh to Chennai: Held: No case made out for transfer of the proceedings u/s.406 – For the purpose of transfer of any case or proceedings u/s.406, the case must fall within the ambit of the expression “expedient for the ends of justice” – Mere inconvenience or hardship that the accused may have to face in travelling from Coimbatore to Chandigarh would not fall within the expression “expedient for the ends of justice” – Transfer of cases u/s.406 Cr.P.C. may be allowed when * Author"
Jay Kishan and Ors. v. The State of Uttar Pradesh and Ors.,[2025] 3 S.C.R. 65,"Coram : SUDHANSHU DHULIA * , AHSANUDDIN AMANULLAH",12-02-2025,CRIMINAL APPEAL No. 727/2025,2 Judges,pdfs/Jay Kishan and Ors. v. The State of Uttar Pradesh and Ors..pdf,"Uttar Pradesh Gangsters & Anti-Social Activities (Prevention) Act, 1986 – ss.2, 3 – Penal Code, 1860 – ss.420/406/120B/504/395/427/506 – Constitution of India – Article 21 – The allegations in the Criminal Cases (CCs) cited in the FIR to invoke the Gangsters Act against the appellants were civil in nature – FIR against the appellants, if ought to be quashed:Held: Yes – Cases cited in the FIR to invoke the Gangsters Act against the appellants related to certain property and monetary transactions which were primarily civil in nature – Addition of various Sections of the IPC in the three CCs may come under the ambit of the offences specified in s.2(b) of the Gangsters Act however, mere invocation of certain Sections of the IPC cannot preclude the Court from lifting the veil to understand what actually lies beneath the material, which is sought to be made the basis for invoking the Act – Right to life and liberty guaranteed u/Article 21 cannot be overlooked only because criminal cases have been registered against a person – Authorities do not have unfettered discretion to invoke the Gangsters Act – The more stringent or penal a provision, greater the emphasis and requirement for it * Author"
Rinku Baheti v. Sandesh Sharda,[2024] 12 S.C.R. 1355,"Coram : B.V. NAGARATHNA * , PANKAJ MITHAL",19-12-2024,TRANSFER PETITION (CIVIL) No. 278/2023,2 Judges,pdfs/Rinku Baheti v. Sandesh Sharda.pdf,"Constitution of India – Art. 142(1) – Hindu Marriage Act, 1955 – ss.13, 13B – Code of Civil Procedure, 1908 – s.25 – Transfer petition – Transfer of divorce petition – Dissolution of marriage – Irretrievable breakdown of marriage – Permanent alimony – Second marriage of both the parties – Husband-respondent, a citizen of USA – Parties had brief period of relationship of three months, thereafter marital discord resulting in multiple litigations – Criminal complaints by the wife-petitioner against the husband, alleging offences of cruelty, outraging of modesty, rape, cheating, along with the complaint against her father-in-law – Issuance of ‘Look Out Circular’ against the husband, leading to his arrest at the airport – Husband released on bail after one month of police custody – Husband filed three divorce petitions within a span of 34 days before the Family Court, out of which, the first was dismissed as withdrawn; second filed by both parties was dismissed for being pre-mature and the third is pending adjudication – Transfer petition by the wife before this Court seeking transfer of the third divorce petition – During pendency, application u/Art.142(1) by the husband seeking dissolution of marriage on the ground of irretrievable breakdown of marriage – Wife also filed application before the Transferee Court for fixation of alimony:*Author"
Nara Chandrababu Naidu v. The State of Andhra Pradesh & Anr.,[2024] 1 S.C.R. 549,"Coram : ANIRUDDHA BOSE, BELA M. TRIVEDI",16-01-2024,CRIMINAL APPEAL No. 279/2024,2 Judges,pdfs/Nara Chandrababu Naidu v. The State of Andhra Pradesh & Anr..pdf,"Prevention of Corruption Act, 1988 – s.17A inserted by the Prevention of Corruption (Amendment) Act, 26 of 2018 – Operation – Allegations against the appellant for commission of offences u/ss.166, 167, 418, 420, 465, 468, 471, 409, 209 and 109 r/w ss.120-B, 34, 37, IPC and ss.12, 13(2) r/w ss.13(1)(c) and (d), 1988 Act allegedly committed between 2015 and 2019 when he was the Chief Minister of the State of Andhra Pradesh – FIR was registered in 2021 initially against 26 accused, the appellant was later added as accused– Appellant sought quashing of the FIR and the order of remand passed by the Special Court – Dismissed by High Court – Plea of the appellant inter alia that the absence of prior approval as mandated by s.17A vitiated the conduct of enquiry or inquiry or investigation:Held: Per Aniruddha Bose, J. If an enquiry, inquiry or investigation is intended in respect of a public servant on the allegation of commission of offence under the 1988 Act after s.17A thereof becomes operational, which is relatable to any recommendation made or decision taken, at least prima facie, in discharge of his official duty, previous approval of the authority postulated in sub-section (a) or (b) or (c) of s.17A shall have to be obtained – In absence of such previous approval, the action initiated under the 1988 Act shall be illegal – In the present case, original FIR was registered on 09.12.2021 and the appellant was implicated on "
"Sanjay Kundu v. Registrar General, High Court of Himachal Pradesh & Ors",[2024] 1 S.C.R. 442,"Coram : D.Y. CHANDRACHUD, J.B. PARDIWALA, MANOJ MISRA",12-01-2024,SPECIAL LEAVE PETITION (CRIMINAL) No. 550/2024,3 Judges,"pdfs/Sanjay Kundu v. Registrar General, High Court of Himachal Pradesh & Ors.pdf","Administration of Justice – Miscarriage of procedural justice – The principal grievance urged was that the petitioner was directly affected by the order of the High Court, but he was neither made a party to the proceedings nor was he furnished a notice of the proceedings – The Supreme Court permitted to file application for recall of the High Court’s order (26.12.2023) – The High Court dismissed the application – SLP filed by the petitioner for recall of the order of the High Court:Held: Earlier, when the Supreme Court permitted the petitioner to move an application for recall of the High Court’s order, the directions of the High Court for transfer of the petitioner were stayed – The Court also stayed the order issued pursuant to the High Court’s directions posting the petitioner as Principal Secretary (Ayush), Government of Himanchal Pradesh – However, the High Court "
969 CASE DETAILS AFJAL ANSARI v. STATE OF UP,[2023] 16 S.C.R. 969,"Coram : SURYA KANT * , DIPANKAR DATTA, UJJAL BHUYAN",14-12-2023,CRIMINAL APPEAL No. 3838/2023,3 Judges,pdfs/969 CASE DETAILS AFJAL ANSARI v. STATE OF UP.pdf,
Hakim v. State of NCT of Delhi and Anr.,[2025] 7 S.C.R. 27,"Coram : ABHAY S. OKA * , AUGUSTINE GEORGE MASIH",19-05-2025,CRIMINAL APPEAL No. 5304/2024,2 Judges,pdfs/Hakim v. State of NCT of Delhi and Anr..pdf,"Penal Code, 1860 – s.326A r/w. s.34 – It was alleged that three accused persons including both the appellants herein blocked the way of respondent-victim – Accused no.1-appellant and accused no.3 held the respondent-victim while accused no.2-appellant, poured acid over her and then ran away from the spot – Trial Court convicted all the accused persons – Both the appellants were sentenced to undergo rigorous imprisonment for life with fine of Rs.1,00,000/- – Accused no.3 was sentenced to rigorous imprisonment for 10 years and fine of Rs.50,000/- – The decision on conviction of both the appellants was affirmed by the High Court – Appellants filed SLP – Appellants contended that the prosecution has failed to establish that the claimed eye injury was result of pouring of acid on the respondent-victim and the prosecution also failed to show the source of procurement of the said substance:Held: As per the evidence led by the prosecution, different Doctors appeared as prosecution witnesses who had treated the victim on various occasions i.e., PW-5, PW-8, PW-9, PW-10, PW-11, PW-12 and PW-14 – All of them have testified that the injuries on the skin and the deformity of the face, including loss of vision, albeit not fully i.e., 90% in the left eye of the respondent-victim were the result of serious Chemical Burn injuries – Therefore, this plea of the appellants fails – The question of the nature and contents of the alleged substance used and thrown on the victim would not arise * Author"
Harjinder Singh v. The State of Punjab & Anr.,[2025] 6 S.C.R. 168,"Coram : VIKRAM NATH * , K.V. VISWANATHAN",06-05-2025,CRIMINAL APPEAL No. 2477/2024,2 Judges,pdfs/Harjinder Singh v. The State of Punjab & Anr..pdf,"Code of Criminal Procedure, 1973 – s.319 – On 13.03.2016, an acid attack was allegedly committed upon victim-deceased – On 10.05.2016, respondent no.2 along with other persons stopped his car near victim and taunted him stating that he and his family should die of shame for not having taken action against the acid-attack assailants – Victim returned home distressed – Later, his body was recovered near a canal – FIR registered u/s.306/34 IPC – By order dated 24.11.2021, the High Court quashed summoning order of respondent no.2 – During trial, Public Prosecutor filed an application u/s.319 to summon respondent no.2 – The said application was allowed by the Trial Court – Respondent no.2 filed application u/s.482 CrPC against the order of the Trial Court – The High Court set aside the summoning order of respondent no.2 – Correctness:Held: The primary argument of Respondent no. 2 rests on his alibi – An alibi, however, is a plea in the nature of a defence; the burden to establish it rests squarely on the accused – Here, the documents relied upon, parking chit, chemist’s receipt, OPD card, CCTV clip, have yet to be formally proved – Until that exercise is undertaken, they remain untested pieces of paper – To treat them as conclusive at the threshold would invert the established order of criminal proceedings, requiring the Court to pronounce upon a defence before the prosecution is allowed to lead its full evidence – * Author"
